cm-1,%T
450.0,98.09361668444973
453.9488320355951,97.66366400273691
457.8976640711902,98.1385701883757
461.8464961067853,98.36798354751484
465.7953281423804,98.0178818370556
469.7441601779755,98.2440191382783
473.6929922135706,97.73916241214901
477.6418242491657,96.93305804957747
481.5906562847608,98.45001179188667
485.53948832035593,98.34957986809215
489.48832035595103,98.07408919230717
493.4371523915462,98.03420528110516
497.38598442714124,98.51814788467738
501.3348164627364,97.77144663726172
505.2836484983315,97.64673296732074
509.2324805339266,97.90572506525201
513.1813125695217,98.59454859427576
517.1301446051168,97.30644354786776
521.0789766407119,98.59591499630699
525.027808676307,97.68037357289722
528.9766407119021,97.44962825013796
532.9254727474972,98.6300309180711
536.8743047830924,97.9515549526018
540.8231368186874,97.34988281780737
544.7719688542825,97.8206334704715
548.7208008898776,98.46552621544303
552.6696329254728,98.59603709631006
556.6184649610678,97.78645065903808
560.567296996663,98.2031603795463
564.516129032258,98.35704231619333
568.4649610678532,97.67768675313538
572.4137931034483,98.17751803757257
576.3626251390434,97.98406104260465
580.3114571746385,97.73198779473464
584.2602892102336,97.75392603226348
588.2091212458287,98.0335172408571
592.1579532814238,98.01492674335546
596.1067853170189,97.71725502313816
600.055617352614,97.78702744547945
604.0044493882092,98.55666861865804
607.9532814238042,98.10691356677361
611.9021134593993,98.44254718200314
615.8509454949944,98.60091111393224
619.7997775305896,98.29442112662124
623.7486095661847,99.13544315168926
627.6974416017797,97.58734797632967
631.6462736373749,98.4042047844665
635.59510567297,97.84092799484556
639.5439377085651,98.92789160303825
643.4927697441602,98.85022001685641
647.4416017797553,97.02289434219746
651.3904338153504,97.51556677740135
655.3392658509455,98.33215630231214
659.2880978865406,98.3949333746964
663.2369299221357,98.36828176327765
667.1857619577308,97.96456682179087
671.1345939933259,98.22755964900455
675.083426028921,98.32650958961328
679.0322580645161,97.9610627046113
682.9810901001113,98.51364855061792
686.9299221357064,96.87024782458387
690.8787541713015,98.31689160104327
694.8275862068965,97.48296623155734
698.7764182424917,98.47932815616262
702.7252502780868,97.88564237455672
706.6740823136819,97.55558435686095
710.6229143492769,98.18691979042944
714.5717463848721,97.54428896163014
718.5205784204672,97.54355362854719
722.4694104560623,97.21626522217319
726.4182424916573,97.98652372209307
730.3670745272525,98.24824147366897
734.3159065628477,98.51127710849316
738.2647385984427,97.92881073020133
742.2135706340378,98.5234808266865
746.1624026696329,98.00836959403256
750.1112347052281,97.95252407503143
754.0600667408232,98.2856540933922
758.0088987764183,98.52767478512672
761.9577308120133,97.82723797194878
765.9065628476085,97.87538316722424
769.8553948832036,97.91593921849531
773.8042269187987,98.0365493768534
777.7530589543937,97.54340975585043
781.7018909899889,98.50560490362902
785.650723025584,97.78879891671232
789.5995550611791,98.21688575963545
793.5483870967741,97.5686545154089
797.4972191323693,98.15535019994803
801.4460511679645,98.164844735835
805.3948832035595,97.75000020648338
809.3437152391546,98.95984840673847
813.2925472747497,98.12124916549826
817.2413793103449,98.80717623624908
821.1902113459399,98.37720237515485
825.139043381535,97.54050785535053
829.0878754171301,97.64866237910375
833.0367074527253,98.01885913884755
836.9855394883205,97.78405055297702
840.9343715239155,97.72091719878271
844.8832035595105,97.48411735539123
848.8320355951057,96.64033607273282
852.7808676307009,97.33329456177987
856.7296996662959,96.21996826398556
860.678531701891,97.37676704595287
864.6273637374861,96.66542056531873
868.5761957730813,96.48077743718635
872.5250278086763,96.50772911176325
876.4738598442714,96.49763644962874
880.4226918798665,95.35018107754198
884.3715239154617,94.85348289180678
888.3203559510567,94.80867202802285
892.2691879866518,93.88260462962111
896.218020022247,93.92515084182439
900.1668520578421,94.64803316619316
904.1156840934372,92.70294402702073
908.0645161290322,92.86619401671523
912.0133481646274,91.09088982941216
915.9621802002225,91.08629051311573
919.9110122358177,89.85816112371991
923.8598442714127,88.98891187543143
927.8086763070078,88.22258976283435
931.7575083426029,87.6544042426349
935.7063403781981,85.63165653883092
939.6551724137931,84.27690828832165
